Name,simulate8Clients/alpha50_1_Outcome,simulate8Clients/alpha50_2_Outcome,simulate8Clients/alpha50_3_Outcome,simulate8Clients/OR_8Clients_Outcome,wholeBenchmarkRun/OR_Outcome,simulate8Clients/alpha50_1_TotalSplits,simulate8Clients/alpha50_2_TotalSplits,simulate8Clients/alpha50_3_TotalSplits,simulate8Clients/OR_8Clients_TotalSplits,wholeBenchmarkRun/OR_TotalSplits,simulate8Clients/alpha50_1_Runtime,simulate8Clients/alpha50_2_Runtime,simulate8Clients/alpha50_3_Runtime,simulate8Clients/OR_8Clients_Runtime,wholeBenchmarkRun/OR_Runtime,Who_Performed_Better,How_Much_Percentage,min(ORx8_alpha50x8)_RunTime,Run number
avc_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,140,113,117,124,233,169.585322,125.800265,219.636109,81.058194,109.616655,simulate8Clients/OR_8Clients,35.23204699083228,81.058194,Run1
mp_removecheck_0.bpl.bpl.txt,OK,OK,OK,OK,OK,17,21,19,12,12,17.003703,14.330897,14.468663,13.436333999999999,14.786158999999998,simulate8Clients/OR_8Clients,10.04608102180252,13.436333999999999,Run1
61883_ioallocateforward_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,306,278,278,0,0,3598.608551,3598.621048,3598.620051,3600,3600,NONE,NA,3600,Run1
1394vdev_completerequest_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,23,21,18,23,117,5.5992489999999995,6.384204,5.282328,7.271306000000001,11.874158999999999,simulate8Clients/alpha50_3,124.7902629295265,5.282328,Run1
Imapi_removelockforwarddevicecontrol2_0.bpl.bpl.txt,OK,OK,TIMEDOUT,TIMEDOUT,TIMEDOUT,87,127,98,0,0,285.968307,749.385657,3599.194922,3600,3600,simulate8Clients/alpha50_1,1158.8807612166618,285.968307,Run1
kbdclass_removelockforward2_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,130,152,64,43,211,390.967199,444.409681,92.798279,41.406524,71.764572,simulate8Clients/OR_8Clients,73.31706472149173,41.406524,Run1
usbccgp_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,25,25,23,20,79,5.171878,5.223575,5.2555510000000005,5.39732,7.8272710000000005,simulate8Clients/alpha50_1,51.34291644157113,5.171878,Run1
serial_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,116,194,160,133,0,3598.770391,3598.715674,3598.754681,3598.741049,3600,NONE,NA,3600,Run1
mouser_removelockforward2_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,38,51,45,42,166,13.029138999999999,15.217108000000001,12.003575999999999,13.903812,17.360994,simulate8Clients/alpha50_3,44.63184970878681,12.003575999999999,Run1
mouser_removelockforward2_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,37,30,27,24,119,11.870906,10.239834,8.850408,10.407016,11.544974,simulate8Clients/alpha50_3,30.445669849344796,8.850408,Run1
kbdclass_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,OK,OK,OK,70,86,91,150,440,139.824016,167.388299,192.304632,161.561154,117.23653900000001,wholeBenchmarkRun/OR,19.266584626828664,139.824016,Run1
