Name UW alpha OR OR+UW OR+alpha UW+alpha All
mouser_iobuilddeviceiocontrolsetevent_1.bpl.bpl.txt 8.43 2.76 2.28 2.28 2.28 2.76 2.28
modem_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt 198.6 66.93 8.65 8.65 8.65 66.93 8.65
61883_ioreuseirp_0.bpl.bpl.txt 115.05 168.83 6.34 6.34 6.34 115.05 6.34
winnt_markirppending_0.bpl.bpl.txt 18.62 20.46 4.03 4.03 4.03 18.62 4.03
modem_pendedcompletedrequest_0.bpl.bpl.txt 497.41 57.4 8.75 8.75 8.75 57.4 8.75
cyzport_irqldispatch_0.bpl.bpl.txt 19.21 24.22 6.12 6.12 6.12 19.21 6.12
61883_completerequeststatuscheck_1.bpl.bpl.txt 68.03 5.53 3.86 3.86 3.86 5.53 3.86
kbdclass_ioallocatefree_1.bpl.bpl.txt 89.25 18.86 13.88 13.88 13.88 18.86 13.88
61883_ioallocatecomplete_1.bpl.bpl.txt 1344.61 1021.9 774.6 774.6 774.6 1021.9 774.6
61883_pendedcompletedrequest_0.bpl.bpl.txt 101.06 6.96 3.23 3.23 3.23 6.96 3.23
sys_pendedcompletedrequest_0.bpl.bpl.txt 317.24 59.67 23.43 23.43 23.43 59.67 23.43
sbp2port_doublecompletion_0.bpl.bpl.txt 18.35 18.75 4.79 4.79 4.79 18.35 4.79
daytona_removelockreleasepnp_1.bpl.bpl.txt 96.45 55.81 43.38 43.38 43.38 55.81 43.38
kbdclass_forwardedatbadirqlallocate_0.bpl.bpl.txt 213.75 352 189.57 189.57 189.57 213.75 189.57
kbdclass_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt 61 13.4 10.78 10.78 10.78 13.4 10.78
sbp2port_forwardedatbadirqlallocate_0.bpl.bpl.txt 838.64 29.98 5.4 5.4 5.4 29.98 5.4
sbp2port_markirppending_1.bpl.bpl.txt 168.45 222.37 54.74 54.74 54.74 168.45 54.74
61883_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt 181.72 233.7 5.5 5.5 5.5 181.72 5.5
daytona_removelockrelease2_1.bpl.bpl.txt 67.19 23.7 17.47 17.47 17.47 23.7 17.47
hw_markstartdevice_0.bpl.bpl.txt 3099.83 2055.7 359.95 359.95 359.95 2055.7 359.95
kbdclass_removelockforward2_1.bpl.bpl.txt 812.3 331.82 155.1 155.1 155.1 331.82 155.1
61883_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt 152.24 21.66 3.93 3.93 3.93 21.66 3.93
61883_removelockreleasedevicecontrol_0.bpl.bpl.txt 23.07 12 3.41 3.41 3.41 12 3.41
usbccgp_completerequest_0.bpl.bpl.txt 350.09 23.55 5.68 5.68 5.68 23.55 5.68
mouser_iobuilddeviceiocontrolsetevent_0.bpl.bpl.txt 54.61 67.61 52.57 52.57 52.57 54.61 52.57
mouclass_multremovelock_1.bpl.bpl.txt 48.93 67.6 41.77 41.77 41.77 48.93 41.77
driver_iobuildsynchronousfsdrequestnofree_0.bpl.bpl.txt 1784.3 2161.69 440.74 440.74 440.74 1784.3 440.74
cyzport_irqlkesetevent_0.bpl.bpl.txt 158.11 3600 13.63 13.63 13.63 158.11 13.63
cyzport_irqlkedispatchlte_0.bpl.bpl.txt 213.1 3600 14.71 14.71 14.71 213.1 14.71
61883_ioallocatecomplete_0.bpl.bpl.txt 3122.68 3600 28.01 28.01 28.01 3122.68 28.01
driver_irqlpspassive_0.bpl.bpl.txt 3.77 0.86 0.73 0.73 0.73 0.86 0.73
driver_irqliopassive5_1.bpl.bpl.txt 3.79 0.91 0.8 0.8 0.8 0.91 0.8
driver_irqliopassive1_1.bpl.bpl.txt 3.97 0.91 0.74 0.74 0.74 0.91 0.74
driver_irqlzwpassive_1.bpl.bpl.txt 12.07 2.41 2.32 2.32 2.32 2.41 2.32
driver_irqliopassive3_2.bpl.bpl.txt 4.04 0.84 0.75 0.75 0.75 0.84 0.75
driver_irqliopassive4_0.bpl.bpl.txt 4.04 0.93 0.87 0.87 0.87 0.93 0.87
modem_signaleventincompletion_0.bpl.bpl.txt 2419.1 1085.75 473.11 473.11 473.11 1085.75 473.11
filter_iobuilddevicecontrolnofree_0.bpl.bpl.txt 2943.7 1025.16 472.91 472.91 472.91 1025.16 472.91
hw_irqlreturn_0.bpl.bpl.txt 2769.65 1381.68 940.03 940.03 940.03 1381.68 940.03
mp_irqlkedispatchlte_0.bpl.bpl.txt 1932.34 575.3 301.78 301.78 301.78 575.3 301.78
flpydisk_irqlexapclte1_0.bpl.bpl.txt 2319.19 484.32 447.44 447.44 447.44 484.32 447.44
mp_irqlreturn_0.bpl.bpl.txt 402.33 294.9 215.82 215.82 215.82 294.9 215.82
avc_pagedcode_1.bpl.bpl.txt 630.48 351.73 328.56 328.56 328.56 351.73 328.56
mp_removecheck_0.bpl.bpl.txt 25.32 7.22 5.9 5.9 5.9 7.22 5.9
serial_markingqueuedirps_0.bpl.bpl.txt 399.72 401.95 381.31 381.31 381.31 399.72 381.31
serial_markingqueuedirps_1.bpl.bpl.txt 397.33 444.98 393.18 393.18 393.18 397.33 393.18
kbdclass_powerdownallocate_1.bpl.bpl.txt 498.19 220.49 203.47 203.47 203.47 220.49 203.47
sys_irqlzwpassive_3.bpl.bpl.txt 1903.03 2778.19 1322.5 1322.5 1322.5 1903.03 1322.5
serenum_completerequest_2.bpl.bpl.txt 2384.56 1239 854.4 854.4 854.4 1239 854.4
driver_irqlkewaitformutexobject_2.bpl.bpl.txt 27.43 10.58 4.74 4.74 4.74 10.58 4.74
mp_irqlkewaitformutexobject_0.bpl.bpl.txt 1419.59 830.6 434.19 434.19 434.19 830.6 434.19
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl.txt 462.07 693 385 385 385 462.07 385
avc_pagedcode_0.bpl.bpl.txt 432.1 348.21 307.36 307.36 307.36 348.21 307.36
driver_irqlexallocatepool_3.bpl.bpl.txt 34.47 12.46 7.49 7.49 7.49 12.46 7.49
mp_irqlkeapclte2_0.bpl.bpl.txt 461.7 319.18 212.71 212.71 212.71 319.18 212.71
serial_markingqueuedirps_2.bpl.bpl.txt 418.59 408 369.02 369.02 369.02 408 369.02
serenum_completerequest_0.bpl.bpl.txt 2082.66 1242.94 618.03 618.03 618.03 1242.94 618.03
hw_irpcancelfield_0.bpl.bpl.txt 1292.45 2151.56 1097.81 1097.81 1097.81 1292.45 1097.81
61883_forwardedatbadirqlallocate_1.bpl.bpl.txt 1544.79 775.28 680.83 680.83 680.83 775.28 680.83
mp_irqlexapclte3_0.bpl.bpl.txt 1099.12 453.68 204.79 204.79 204.79 453.68 204.79
scsiscan_forwardedatbadirqlallocate_0.bpl.bpl.txt 3600 178.85 42.86 42.86 42.86 178.85 42.86
usbprint_ioallocatecomplete_0.bpl.bpl.txt 3600 11.23 4.35 4.35 4.35 11.23 4.35
usbccgp_forwardedatbadirql_0.bpl.bpl.txt 3600 18.24 9.59 9.59 9.59 18.24 9.59
serial_irqlkedispatchlte_0.bpl.bpl.txt 3600 3600 2217.83 2217.83 2217.83 3600 2217.83
serial_irqlkesetevent_0.bpl.bpl.txt 3600 3600 575.98 575.98 575.98 3600 575.98
cyzport_irqlreturn_0.bpl.bpl.txt 3600 1475.47 244.78 244.78 244.78 1475.47 244.78
filter_completerequeststatuscheck_1.bpl.bpl.txt 3600 2093.91 454.78 454.78 454.78 2093.91 454.78
serial_zwregistryopen_0.bpl.bpl.txt 3600 2606.3 1553.46 1553.46 1553.46 2606.3 1553.46
serial_zwregistryopen_1.bpl.bpl.txt 3600 3489.47 1293.5 1293.5 1293.5 3489.47 1293.5
hw_irqldispatch_0.bpl.bpl.txt 3600 3600 2487.34 2487.34 2487.34 3600 2487.34
1394diag_ioallocatecomplete_0.bpl.bpl.txt 3600 3600 3366.81 3366.81 3366.81 3600 3366.81
serial_zwregistryopen_2.bpl.bpl.txt 3600 3600 1647.02 1647.02 1647.02 3600 1647.02
cyyport_pagedcode_0.bpl.bpl.txt 3600 3600 1219.47 1219.47 1219.47 3600 1219.47
serenum_completerequest_1.bpl.bpl.txt 3600 3600 3209.75 3209.75 3209.75 3600 3209.75
hw_irqlkedispatchlte_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
hw_irqliopassive2_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_removelock_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_irqlkeraiselower2_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_removelockreleasepnp_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_irqlkereleasespinlock_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
driver_zwregistryopen_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
avc_markirppending_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
kbdclass_nsremovelockquerymnremove_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
serial_pagedcode_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
ppa3x_removelock_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_spinlocksafe_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
