Name,OR_OutCome,splitOnDemand_Outcome,OR_TotalSplits,splitOnDemand_TotalSplits,OR_RunTime,splitOnDemand_RunTime,Who Performed Better,By How Much Percentage,splitOnDemand TimedOut but not OR,OR TimedOut but not splitOnDemand
usbprint_ioallocatecomplete_0.bpl.bpl.txt,NOK,NOK,27,19,11.083753,21.274943999999998,OR,91.9471139423623,0,0
Imapi_markirppending_0.bpl.bpl.txt,TIMEDOUT,OK,356,84,3598.355346,1860.542618,splitOnDemand,93.40354320225521,0,1
hw_irqlexallocatepool_0.bpl.bpl.txt,OK,TIMEDOUT,1433,61,3017.6120849999998,3597.8089,OR,19.227017875625997,1,0
mp_irqlkedispatchlte_0.bpl.bpl.txt,OK,OK,68,142,89.66592999999999,1567.2760970000002,OR,1647.9059181118184,0,0
61883_completerequest_1.bpl.bpl.txt,NOK,NOK,21,17,15.377350999999997,45.044348,OR,192.9265775360139,0,0
sbp2port_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,NOK,62,10,62.36536300000001,732.8671840000001,OR,1075.1189261898467,0,0
avc_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2221,27,3597.861743,3597.579755,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateforward_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1883,20,3597.417025,3597.607577,TIMED-OUT,TIMED-OUT,0,0
modem_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2195,50,3598.115223,3597.39426,TIMED-OUT,TIMED-OUT,0,0
usbccgp_completerequeststatuscheck_0.bpl.bpl.txt,NOK,NOK,25,21,15.943424,35.083153,OR,120.04779525401823,0,0
sbp2port_irqlkeraiselower_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,356,16,3596.98551,3597.374214,TIMED-OUT,TIMED-OUT,0,0
driver_irqlkewaitformutexobject_2.bpl.bpl.txt,OK,OK,11,96,14.629639000000001,296.007848,OR,1923.3434878331586,0,0
mouser_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,OK,OK,157,144,270.806508,1318.9622860000002,OR,387.04970044516074,0,0
mp_irqlkewaitformutexobject_0.bpl.bpl.txt,OK,OK,94,118,184.798754,1468.16131,OR,694.4649399530042,0,0
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,193,132,257.53339900000003,1362.676098,OR,429.12597095804256,0,0
hw_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1907,23,3597.754938,3597.621712,TIMED-OUT,TIMED-OUT,0,0
serial_zwregistryopen_2.bpl.bpl.txt,OK,TIMEDOUT,194,84,2229.7082920000003,3597.591465,OR,61.348077589693936,1,0
61883_pendedcompletedrequest_0.bpl.bpl.txt,NOK,NOK,25,23,11.763058000000001,187.82278300000002,OR,1496.7173076932886,0,0
sbp2port_irqldispatch_1.bpl.bpl.txt,OK,TIMEDOUT,389,82,856.953609,3597.60264,OR,319.81299830198856,1,0
parzip_nsremovelockmnremove_0.bpl.bpl.txt,OK,OK,1258,82,2217.530947,3310.768491,OR,49.299764924543325,0,0
winnt_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2575,22,3598.505558,3596.529335,TIMED-OUT,TIMED-OUT,0,0
61883_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,269,14,3597.854431,3595.795829,TIMED-OUT,TIMED-OUT,0,0
parzip_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,OK,OK,105,101,124.207447,309.97749799999997,OR,149.56434214447702,0,0
driver_irqliopassive1_1.bpl.bpl.txt,OK,OK,1,19,1.81101,14.024535,OR,674.4040618218563,0,0
1394vdev_markirppending_0.bpl.bpl.txt,OK,OK,170,93,221.930118,3266.79329,OR,1371.9918681789736,0,0
serial_irqlkesetevent_0.bpl.bpl.txt,NOK,TIMEDOUT,757,40,1470.221352,3597.937471,OR,144.72080113008724,1,0
cyzport_irqlkesetevent_0.bpl.bpl.txt,NOK,NOK,31,21,27.553139,17.485267999999998,splitOnDemand,57.579163213283344,0,0
61883_markqueryrelations_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2369,84,3598.430551,3598.085645,TIMED-OUT,TIMED-OUT,0,0
61883_irqlexallocatepool_0.bpl.bpl.txt,OK,OK,193,109,430.75341299999997,910.848384,OR,111.4547108649375,0,0
