Name,OR_OutCome,alpha150_Every_Outcome,OR_TotalSplits,alpha150_Every_TotalSplits,OR_RunTime,alpha150_Every_RunTime,Who Performed Better,By How Much Percentage,alpha150_Every TimedOut but not OR,OR TimedOut but not alpha150_Every
sbp2port_irqlioapclte_0.bpl.bpl.txt,NOK,NOK,34,88,25.849559,448.71790799999997,OR,1635.8822562504838,0,0
sbp2port_removelock_0.bpl.bpl.txt,NOK,NOK,33,32,26.802995,28.82477,OR,7.543093598308703,0,0
61883_lowerdriverreturn_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2044,297,3597.860323,3597.742586,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,NOK,21,35,14.660226000000002,40.395412,OR,175.54426514297936,0,0
mouser_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,OK,OK,157,150,270.806508,1465.9528109999999,OR,441.32850123380337,0,0
mouclass_powerdownallocate_1.bpl.bpl.txt,OK,TIMEDOUT,299,345,593.035808,3598.49347,OR,TIMED-OUT,1,0
61883_irqlkereleasespinlock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2406,309,3598.029494,3597.875053,TIMED-OUT,TIMED-OUT,0,0
parport_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1495,154,3596.979295,3597.190816,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlreturn_0.bpl.bpl.txt,NOK,NOK,30,29,9.312313,12.47258,OR,33.936434481959544,0,0
cyzport_irqlkesetevent_0.bpl.bpl.txt,NOK,NOK,31,19,27.553139,14.262249,alpha150_Every,93.18929994841628,0,0
driver_irqlioapclte_2.bpl.bpl.txt,OK,OK,1,22,1.5192830000000002,14.320196,OR,842.5627746772655,0,0
kerneldriver_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1741,347,3598.527238,3598.24813,TIMED-OUT,TIMED-OUT,0,0
1394vdev_markirppending_0.bpl.bpl.txt,OK,OK,170,113,221.930118,2778.485285,OR,1151.9640461778156,0,0
modem_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1593,295,3597.825399,3598.108685,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkeraiselower2_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1754,304,3597.856591,3597.93397,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqldispatch_1.bpl.bpl.txt,OK,TIMEDOUT,389,202,856.953609,3597.561263,OR,TIMED-OUT,1,0
61883_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,NOK,22,24,14.418900999999998,23.31569,OR,61.702268432247386,0,0
sys_zwregistryopen_0.bpl.bpl.txt,OK,TIMEDOUT,56,147,2947.80437,3598.435608,OR,TIMED-OUT,1,0
1394vdev_completerequest_0.bpl.bpl.txt,NOK,NOK,20,32,11.108319000000002,41.737823,OR,275.7348254042758,0,0
hw_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1907,271,3597.754938,3597.694085,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2131,320,3597.993471,3598.159488,TIMED-OUT,TIMED-OUT,0,0
parzip_nsremovelockmnremove_0.bpl.bpl.txt,OK,OK,1258,132,2217.530947,1198.160327,alpha150_Every,85.07798138771123,0,0
winnt_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2575,513,3598.505558,3598.397691,TIMED-OUT,TIMED-OUT,0,0
driver_irqliopassive1_1.bpl.bpl.txt,OK,OK,1,22,1.81101,14.399046,OR,695.083737803767,0,0
