Name,UW_OutCome,splitOnDemand_Outcome,UW_TotalSplits,splitOnDemand_TotalSplits,UW_RunTime,splitOnDemand_RunTime,Who Performed Better,By How Much Percentage,splitOnDemand TimedOut but not UW,UW TimedOut but not splitOnDemand
sbp2port_irqlkeraiselower2_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1527,43,3597.806341,3597.832812,TIMED-OUT,TIMED-OUT,0,0
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,665,132,2069.625721,1362.676098,splitOnDemand,51.87950563142556,0,0
mouser_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,TIMEDOUT,OK,2133,150,3598.34873,1627.5250330000001,splitOnDemand,TIMED-OUT,0,1
61883_ioallocatecomplete_1.bpl.bpl.txt,NOK,NOK,400,20,1123.304902,3434.357515,UW,205.73689377525744,0,0
Imapi_removelockreleasedevicecontrol_0.bpl.bpl.txt,TIMEDOUT,OK,1638,85,3598.561588,1594.782618,splitOnDemand,TIMED-OUT,0,1
61883_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,24,20,13.95146,12.977177,splitOnDemand,7.50766518789103,0,0
avc_lowerdriverreturn_1.bpl.bpl.txt,TIMEDOUT,NOK,1256,136,3597.779526,1397.1241499999999,splitOnDemand,TIMED-OUT,0,1
driver_targetrelationneedsref_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2113,80,3598.02644,3598.278024,TIMED-OUT,TIMED-OUT,0,0
filter_completerequeststatuscheck_1.bpl.bpl.txt,TIMEDOUT,OK,1997,161,3598.014385,1547.748831,splitOnDemand,TIMED-OUT,0,1
mouser_removelockreleasecreate_0.bpl.bpl.txt,NOK,NOK,234,95,391.62425499999995,1037.552243,UW,164.93564424399614,0,0
61883_lowerdriverreturn_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1720,69,3597.872334,3597.814439,TIMED-OUT,TIMED-OUT,0,0
mouclass_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,NOK,40,41,41.675681,54.611476,UW,31.03919285686059,0,0
hw_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1482,23,3597.496021,3597.621712,TIMED-OUT,TIMED-OUT,0,0
kbdclass_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,121,61,204.479886,492.641107,UW,140.92399337507453,0,0
sbp2port_completerequest_0.bpl.bpl.txt,NOK,NOK,18,10,10.057959,9.724423,splitOnDemand,3.429879592856054,0,0
kbdclass_nsremovelockquerymnremove_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,561,83,3598.51119,3598.255019,TIMED-OUT,TIMED-OUT,0,0
avc_ioreuseirp_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,785,36,3598.04925,3597.957833,TIMED-OUT,TIMED-OUT,0,0
kbdclass_nsremovelockmnsurpriseremove_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1312,88,3598.385866,3598.149104,TIMED-OUT,TIMED-OUT,0,0
cyzport_irqldispatch_0.bpl.bpl.txt,NOK,NOK,45,45,46.241543,38.898279,splitOnDemand,18.878120546155774,0,0
hw_markstartdevice_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1702,87,3597.896033,3597.939477,TIMED-OUT,TIMED-OUT,0,0
partmgr_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,224,92,3596.548317,3598.374474,TIMED-OUT,TIMED-OUT,0,0
winnt_markirppending_0.bpl.bpl.txt,NOK,NOK,23,16,16.330784,20.847532,UW,27.657876070126207,0,0
avc_pagedcode_1.bpl.bpl.txt,OK,OK,204,146,328.678925,350.572382,UW,6.661046795136016,0,0
winnt_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1036,22,3598.414685,3596.529335,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateforward_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1077,20,3597.509631,3597.607577,TIMED-OUT,TIMED-OUT,0,0
driver_irqlkewaitformutexobject_2.bpl.bpl.txt,OK,OK,214,96,706.67569,296.007848,splitOnDemand,138.735457446385,0,0
1394diag_pendedcompletedrequest2_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,509,76,3598.495893,3598.540199,TIMED-OUT,TIMED-OUT,0,0
avc_pendedcompletedrequest_1.bpl.bpl.txt,TIMEDOUT,OK,1944,101,3597.848057,1871.119547,splitOnDemand,TIMED-OUT,0,1
filter_iobuilddevicecontrolnofree_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,637,124,3598.24399,3598.360796,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkeraiselower2_0.bpl.bpl.txt,NOK,NOK,157,19,234.450703,925.3315299999999,UW,294.6806378311435,0,0
sys_removelockforwarddevicecontrol2_0.bpl.bpl.txt,OK,OK,13,13,7.099141999999999,7.281484999999999,UW,2.568521660786619,0,0
sys_zwregistryopen_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,175,140,3598.689241,3598.437506,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,NOK,33,12,35.14629,39.082662,UW,11.19996449127347,0,0
serial_irqlzwpassive_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1399,57,3597.927775,3597.502027,TIMED-OUT,TIMED-OUT,0,0
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl.txt,TIMEDOUT,OK,1815,130,3596.165559,1049.8219319999998,splitOnDemand,TIMED-OUT,0,1
usbccgp_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,NOK,25,53,14.693384,50.564108,UW,244.12840500187022,0,0
sbp2port_irqlkewaitformutexobject_0.bpl.bpl.txt,NOK,NOK,62,35,63.47815000000001,60.082832999999994,splitOnDemand,5.651060095651637,0,0
sbp2port_irqliopassive4_1.bpl.bpl.txt,TIMEDOUT,OK,2125,132,3597.938454,330.617619,splitOnDemand,TIMED-OUT,0,1
sbp2port_spinlocksafe_0.bpl.bpl.txt,NOK,NOK,20,17,8.940311,9.258408000000001,UW,3.558008216940123,0,0
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,OK,OK,142,114,259.496709,352.83615199999997,UW,35.96941300708363,0,0
sys_removelockforwarddevicecontrol_0.bpl.bpl.txt,OK,OK,14,14,7.728673,8.284106,UW,7.186654164304788,0,0
sbp2port_irqlreturn_0.bpl.bpl.txt,NOK,NOK,17,28,12.491508,11.262691,splitOnDemand,10.91050975295335,0,0
avc_irqlkereleasespinlock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1238,22,3597.824958,3597.87752,TIMED-OUT,TIMED-OUT,0,0
hw_pagedcode_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2064,82,3597.710389,3597.842325,TIMED-OUT,TIMED-OUT,0,0
crcfilter_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1745,35,3598.746192,3598.595995,TIMED-OUT,TIMED-OUT,0,0
61883_removelockreleasepnp_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1020,50,3598.157681,3598.177315,TIMED-OUT,TIMED-OUT,0,0
hw_irqlkewaitformutexobject_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2180,143,3597.774802,3597.757241,TIMED-OUT,TIMED-OUT,0,0
61883_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,NOK,62,17,90.84858,87.849681,splitOnDemand,3.413670904507888,0,0
kbdclass_forwardedatbadirqlallocate_1.bpl.bpl.txt,NOK,NOK,234,35,398.840278,482.63059699999997,UW,21.00848976943095,0,0
61883_multremovelock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2326,106,3597.510254,3597.825255,TIMED-OUT,TIMED-OUT,0,0
serial_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1001,40,3597.79805,3597.937471,TIMED-OUT,TIMED-OUT,0,0
avc_completerequeststatuscheck_0.bpl.bpl.txt,TIMEDOUT,NOK,1494,128,3597.77126,736.001788,splitOnDemand,TIMED-OUT,0,1
sbp2port_irqlkeraiselower_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1465,20,3597.83173,3595.8533,TIMED-OUT,TIMED-OUT,0,0
mouser_iobuilddeviceiocontrolsetevent_0.bpl.bpl.txt,NOK,NOK,43,17,41.757548,54.904359,UW,31.483675717740894,0,0
driver_irqliopassive4_0.bpl.bpl.txt,OK,OK,19,22,13.190635,15.252552,UW,15.631673532017217,0,0
sbp2port_removelock_0.bpl.bpl.txt,NOK,NOK,40,28,30.548073,34.255832,UW,12.137456264426236,0,0
tffsport_spinlockrelease_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,709,96,3597.044638,3597.230639,TIMED-OUT,TIMED-OUT,0,0
