Name,OR_OutCome,AlphaDecay_Outcome,OR_TotalSplits,AlphaDecay_TotalSplits,OR_RunTime,AlphaDecay_RunTime,Who Performed Better,By How Much Percentage,AlphaDecay TimedOut but not OR,OR TimedOut but not AlphaDecay
mouser_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,OK,OK,157,159,270.806508,291.197747,OR,7.529818670384385,0,0
kbdclass_multremovelock_0.bpl.bpl.txt,NOK,NOK,56,59,60.970915,55.612454,AlphaDecay,9.635361532508526,0,0
sys_irqlzwpassive_3.bpl.bpl.txt,OK,OK,68,79,146.832774,145.55819,AlphaDecay,0.8756525483038806,0,0
avc_lowerdriverreturn_0.bpl.bpl.txt,NOK,NOK,158,218,205.40389499999998,288.528641,OR,40.46892392181756,0,0
cyzport_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,NOK,149,19,181.511314,15.392994000000002,AlphaDecay,1079.1813470465847,0,0
driver_zwregistrycreate_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1606,1537,3595.449113,3594.996254,TIMED-OUT,TIMED-OUT,0,0
serial_irqlzwpassive_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,90,169,3597.809095,3597.711282,TIMED-OUT,TIMED-OUT,0,0
flpydisk_irqlexapclte1_0.bpl.bpl.txt,OK,OK,35,38,44.685112999999994,33.520232,AlphaDecay,33.30788700985123,0,0
parzip_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,OK,OK,105,379,124.207447,562.032104,OR,352.49469140123296,0,0
sbp2port_ioallocateforward_0.bpl.bpl.txt,NOK,NOK,21,28,13.54815,21.15119,OR,56.118658266995865,0,0
sbp2port_removelock_0.bpl.bpl.txt,NOK,NOK,33,33,26.802995,30.610108,OR,14.204058165887808,0,0
kbdclass_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,22,49,16.51079,45.737277,OR,177.014467508823,0,0
sbp2port_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,19,23,12.183686000000002,14.766364000000001,OR,21.197837830029428,0,0
parzip_removelockreleasepnp_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,115,134,3598.511459,3598.537043,TIMED-OUT,TIMED-OUT,0,0
1394vdev_completerequest_0.bpl.bpl.txt,NOK,NOK,20,25,11.108319000000002,12.277144,OR,10.522069090741795,0,0
avc_pagedcode_0.bpl.bpl.txt,OK,OK,57,91,72.246304,98.893446,OR,36.88374425354687,0,0
sbp2port_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1171,958,3597.849684,3597.969846,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,352,527,3596.908775,3596.889778,TIMED-OUT,TIMED-OUT,0,0
mouser_removelockreleasecreate_0.bpl.bpl.txt,TIMEDOUT,NOK,269,58,3598.715784,20.357938,AlphaDecay,TIMED-OUT,0,1
hw_irpcancelfield_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2011,1953,3598.268603,3598.265529,TIMED-OUT,TIMED-OUT,0,0
parzip_completerequest_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,487,893,3598.463651,3598.577498,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2145,2161,3598.076034,3597.861087,TIMED-OUT,TIMED-OUT,0,0
kbdclass_removelockreleasepnp_1.bpl.bpl.txt,NOK,NOK,50,64,45.829841,70.05065900000001,OR,52.84944802666893,0,0
