Name,Vanilla_OutCome,UW_Outcome,Vanilla_TotalSplits,UW_TotalSplits,Vanilla_RunTime,UW_RunTime,Who Performed Better,By How Much Percentage,UW TimedOut but not Vanilla,Vanilla TimedOut but not UW
32_7_cilled_const_ok_linux-32_1-drivers--video--aty--atyfb.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,900,900,TIMED-OUT,TIMED-OUT,0,0
linux-4.0-rc1---drivers--misc--sgi-gru--gru.ko.cil.i.bpl.txt,TIMEDOUT,TIMEDOUT,76,195,845.035495,845.168177,Vanilla,0.015701352284622,0,0
linux-4.2-rc1.tar.xz-08_1a-drivers--media--pci--pt3--earth-pt3.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,28,58,80.82423,18.943623,UW,326.656664356127,0,0
linux-3.12-rc1.tar.xz-144_2a-drivers--media--usb--usbvision--usbvision.ko-entry_point.cil.out.i.bpl.txt,NOK,TIMEDOUT,11,236,432.971152,869.78257,Vanilla,100.886956551784,1,0
linux-4.0-rc1---drivers--media--usb--ttusb-budget--dvb-ttusb-budget.ko.cil.i.bpl.txt,TIMEDOUT,TIMEDOUT,427,481,892.347763,892.299697,UW,0.005386755163265,0,0
linux-4.0-rc1---drivers--block--rsxx--rsxx.ko.cil.i.bpl.txt,NOK,NOK,145,232,214.456742,395.164597,Vanilla,84.2630794978691,0,0
linux-stable-064368f-1-111_1a-drivers--media--radio--si4713-i2c.ko-entry_point_ldv-val-v0.8.cil.out.i.bpl.txt,NOK,NOK,20,78,17.974861,10.493069,UW,71.3022281660399,0,0
linux-stable-4ee267b-1-130_7a-drivers--hwmon--ibmaem.ko-entry_point_ldv-val-v0.8.cil.out.i.bpl.txt,NOK,NOK,16,185,24.410414,20.038717,UW,21.8162520085492,0,0
linux-3.12-rc1.tar.xz-144_2a-drivers--input--touchscreen--usbtouchscreen.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,29,27,30.472733,9.584112,UW,217.950510177677,0,0
linux-3.14_complex_emg_linux-alloc-spinlock_drivers-net-wireless-orinoco-orinoco_usb.cil.i.bpl.txt,TIMEDOUT,TIMEDOUT,330,327,892.895282,892.839858,UW,0.006207608173324,0,0
m0_drivers-net-b44-ko--114_1a--073676f-1.i.bpl.txt,NOK,NOK,6,36,219.098389,49.693396,UW,340.900414614449,0,0
43_1a_cilled_ok_linux-43_1a-drivers--scsi--megaraid--megaraid_mm.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,NOK,NOK,8,20,4.222345,2.174984,UW,94.1322326968842,0,0
linux-stable-42f9f8d-1-111_1a-sound--oss--opl3.ko-entry_point.cil.out.i.bpl.txt,TIMEDOUT,NOK,18,175,887.449035,185.917396,UW,377.335125218729,0,1
linux-stable-431e8d4-1-102_1a-drivers--net--r8169.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,49,77,164.708614,117.84577,UW,39.7662504135702,0,0
32_7a_cilled_linux-3.8-rc1-drivers--gpu--drm--vmwgfx--vmwgfx.ko-main.cil.out.i.bpl.txt,TIMEDOUT,NOK,41,35,854.181487,91.014141,UW,838.515133598855,0,1
linux-4.0-rc1---drivers--block--skd.ko.cil.i.bpl.txt,TIMEDOUT,TIMEDOUT,359,477,875.263421,875.667488,Vanilla,0.046165187565865,0,0
linux-4.2-rc1.tar.xz-08_1a-drivers--vfio--vfio.ko-entry_point.cil.out.i.bpl.txt,TIMEDOUT,NOK,49,195,892.770555,189.395911,UW,371.377945957872,0,1
linux-4.2-rc1.tar.xz-32_7a-drivers--ata--libata.ko-entry_point.cil.out.i.bpl.txt,TIMEDOUT,TIMEDOUT,2,77,621.594633,623.358075,Vanilla,0.283696464927498,0,0
linux-3.14_complex_emg_linux-alloc-spinlock_drivers-net-usb-kaweth.cil.i.bpl.txt,TIMEDOUT,TIMEDOUT,54,276,893.941856,893.906488,UW,0.003956565980318,0,0
main3_drivers-gpu-drm-vmwgfx-vmwgfx-ko--32_7a--linux-3.5.i.bpl.txt,NOK,NOK,43,33,529.940978,45.057577,UW,1076.14175746734,0,0
205_9a_array_unsafes_linux-3.16-rc1.tar.xz-205_9a-drivers--net--wan--hdlc_cisco.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,11,43,6.617877,6.306077,UW,4.9444369296474,0,0
linux-4.2-rc1.tar.xz-43_2a-drivers--misc--sgi-xp--xpc.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,14,94,32.663291,43.362754,Vanilla,32.7568431484751,0,0
m0_sound-oss-opl3-ko--111_1a--42f9f8d-1.i.bpl.txt,TIMEDOUT,NOK,12,27,888.082904,128.238038,UW,592.526895958904,0,1
32_7a_cilled_linux-3.8-rc1-32_7a-fs--ceph--ceph.ko-ldv_main11_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,NOK,NOK,2,21,15.356632,24.490348,Vanilla,59.4773385205818,0,0
205_9a_array_unsafes_linux-3.16-rc1.tar.xz-205_9a-drivers--net--wireless--rtlwifi--rtl8723ae--rtl8723ae.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,8,151,169.280267,761.557889,Vanilla,349.879895924313,0,0
linux-stable-8a9f335-1-32_7a-drivers--net--wireless--ath--carl9170--carl9170.ko-entry_point_ldv-val-v0.8.cil.out.i.bpl.txt,TIMEDOUT,TIMEDOUT,37,70,850.090383,849.425732,UW,0.078247099771159,0,0
linux-4.0-rc1---drivers--usb--misc--yurex.ko.cil.i.bpl.txt,NOK,NOK,77,95,36.878297,17.195036,UW,114.470600701272,0,0
linux-4.0-rc1---drivers--gpu--drm--ast--ast.ko.cil.i.bpl.txt,TIMEDOUT,TIMEDOUT,44,126,181.381098,174.322764,UW,4.04900303209967,0,0
linux-4.0-rc1---drivers--block--nvme.ko.cil.i.bpl.txt,TIMEDOUT,TIMEDOUT,421,347,879.37217,879.355468,UW,0.001899345669391,0,0
205_9a_array_unsafes_linux-3.16-rc1.tar.xz-205_9a-drivers--net--wireless--mwl8k.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,7,142,29.706798,99.033083,Vanilla,233.368419578576,0,0
43_1a_cilled_ok_linux-43_1a-drivers--scsi--dpt_i2o.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,NOK,NOK,10,20,8.902992,4.328645,UW,105.676187351931,0,0
32_7a_cilled_linux-3.8-rc1-32_7a-drivers--usb--core--usbcore.ko-ldv_main1_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,NOK,NOK,2,37,40.024777,64.915345,Vanilla,62.1878992605006,0,0
