Name,OR_Outcome,OR_TotalSplits,OR_Runtime,Who_Performed_Better
sys_markirppending_6.bpl.bpl.txt,NOK,104,13.437398,OR
flpydisk_irqlexapclte1_1.bpl.bpl.txt,OK,128,620.988631,OR
sys_irqlzwpassive_3.bpl.bpl.txt,OK,91,86.04699600000001,OR
filter_completerequeststatuscheck_1.bpl.bpl.txt,OK,244,103.877088,OR
kbdclass_irqlkedispatchlte_1.bpl.bpl.txt,0,0,0.0,OR
61883_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,1706,593.2829019999999,OR
61883_removelockreleasedevicecontrol_1.bpl.bpl.txt,NOK,121,12.595725999999999,OR
61883_irqlkereleasespinlock_1.bpl.bpl.txt,0,0,0.0,OR
avc_irqlkereleasespinlock_1.bpl.bpl.txt,0,0,0.0,OR
sbp2port_pendedcompletedrequest2_1.bpl.bpl.txt,NOK,109,8.631381,OR
scsiscan_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,153,9.786469,OR
serial_irqlexallocatepool_0.bpl.bpl.txt,0,0,0.0,OR
kbdclass_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,139,29.803582000000002,OR
sbp2port_irqliopassive1_0.bpl.bpl.txt,NOK,47,66.69521999999999,OR
serial_zwregistryopen_0.bpl.bpl.txt,OK,297,610.381083,OR
hw_irqlkeraiselower_0.bpl.bpl.txt,OK,1886,1093.362454,OR
serial_zwregistryopen_2.bpl.bpl.txt,OK,313,889.999999,OR
serial_markingqueuedirps_1.bpl.bpl.txt,OK,1256,950.9388839999999,OR
sbp2port_irqlkewaitformutexobject_0.bpl.bpl.txt,NOK,157,18.640312,OR
driver_zwregistryopen_1.bpl.bpl.txt,0,0,0.0,OR
ppa3x_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,309,33.112747999999996,OR
parzip_removelockreleasepnp_0.bpl.bpl.txt,0,0,0.0,OR
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,OK,416,96.997536,OR
kbdclass_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,NOK,97,15.971919,OR
daytona_removelockreleasepnp_0.bpl.bpl.txt,NOK,370,112.312671,OR
serial_irqlkesetevent_0.bpl.bpl.txt,NOK,1338,552.4607060000001,OR
parport_irqlexallocatepool_0.bpl.bpl.txt,0,0,0.0,OR
avc_irqlkereleasespinlock_0.bpl.bpl.txt,0,0,0.0,OR
avc_irqlkesetevent_1.bpl.bpl.txt,0,0,0.0,OR
mouser_iobuilddevicecontrolwait_0.bpl.bpl.txt,OK,291,115.48981400000001,OR
61883_ioallocatecomplete_0.bpl.bpl.txt,NOK,189,45.530609999999996,OR
serenum_markirppending_0.bpl.bpl.txt,0,0,0.0,OR
61883_ioallocatefree_0.bpl.bpl.txt,0,0,0.0,OR
sbp2port_lowerdriverreturn_1.bpl.bpl.txt,NOK,49,11.22054,OR
usbccgp_markirppending_0.bpl.bpl.txt,NOK,85,7.934027,OR
hw_completerequest_0.bpl.bpl.txt,NOK,130,39.87201,OR
61883_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,NOK,85,11.71679,OR
avc_pagedcode_1.bpl.bpl.txt,OK,303,71.063166,OR
mouser_forwardedatbadirqlallocate_1.bpl.bpl.txt,NOK,175,71.51745700000001,OR
usbccgp_irqlkereleasespinlock_0.bpl.bpl.txt,0,0,0.0,OR
61883_forwardedatbadirqlallocate_1.bpl.bpl.txt,OK,122,84.906545,OR
kbdclass_removelockreleasepnp_1.bpl.bpl.txt,NOK,420,107.655791,OR
parzip_nsremovelockquerymnremove_0.bpl.bpl.txt,OK,81,16.991954,OR
partmgr_nsremovelockmnremove_0.bpl.bpl.txt,0,0,0.0,OR
parzip_nsremovelockmnremove_0.bpl.bpl.txt,OK,877,367.701528,OR
avc_markirppending_1.bpl.bpl.txt,0,0,0.0,OR
sbp2port_markirppending_1.bpl.bpl.txt,NOK,94,12.603929999999998,OR
