Name,NOK_OutCome,NOK_Outcome,NOK_TotalSplits,NOK_TotalSplits,NOK_RunTime,NOK_RunTime,Who Performed Better,By How Much Percentage,NOK TimedOut but not NOK,NOK TimedOut but not NOK
usbccgp_lowerdriverreturn_0.bpl.bpl.txt,NOK,NOK,21,21,14.260988000000001,14.260988000000001,TIMED-OUT,TIMED-OUT,0,0
sbp2port_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,23,23,13.73035,13.73035,TIMED-OUT,TIMED-OUT,0,0
sbp2port_markirppending_1.bpl.bpl.txt,NOK,NOK,39,39,35.808828000000005,35.808828000000005,TIMED-OUT,TIMED-OUT,0,0
mouser_iobuilddeviceiocontrolsetevent_0.bpl.bpl.txt,NOK,NOK,20,20,10.756581,10.756581,TIMED-OUT,TIMED-OUT,0,0
avc_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,NOK,78,78,64.43845400000001,64.43845400000001,TIMED-OUT,TIMED-OUT,0,0
1394diag_completerequest_0.bpl.bpl.txt,NOK,NOK,21,21,11.094313,11.094313,TIMED-OUT,TIMED-OUT,0,0
kbdclass_removelockmnsurpriseremove_1.bpl.bpl.txt,NOK,NOK,135,135,169.186708,169.186708,TIMED-OUT,TIMED-OUT,0,0
sbp2port_completerequest_1.bpl.bpl.txt,NOK,NOK,64,64,66.266299,66.266299,TIMED-OUT,TIMED-OUT,0,0
sys_pendedcompletedrequest_0.bpl.bpl.txt,NOK,NOK,45,45,32.915577,32.915577,TIMED-OUT,TIMED-OUT,0,0
mouser_iobuilddeviceiocontrolsetevent_1.bpl.bpl.txt,NOK,NOK,20,20,6.367005,6.367005,TIMED-OUT,TIMED-OUT,0,0
sbp2port_markingqueuedirps_1.bpl.bpl.txt,NOK,NOK,50,50,38.909898999999996,38.909898999999996,TIMED-OUT,TIMED-OUT,0,0
cyzport_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,NOK,28,28,18.351475999999998,18.351475999999998,TIMED-OUT,TIMED-OUT,0,0
mp_markingqueuedirps_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2383,2383,3596.578498,3596.578498,TIMED-OUT,TIMED-OUT,0,0
serial_pendedcompletedrequest3_1.bpl.bpl.txt,NOK,NOK,42,42,22.251356,22.251356,TIMED-OUT,TIMED-OUT,0,0
sbp2port_removelock_0.bpl.bpl.txt,NOK,NOK,28,28,23.649217,23.649217,TIMED-OUT,TIMED-OUT,0,0
kbdclass_signaleventincompletion_1.bpl.bpl.txt,NOK,NOK,85,85,84.296436,84.296436,TIMED-OUT,TIMED-OUT,0,0
usbccgp_markirppending_0.bpl.bpl.txt,NOK,NOK,21,21,11.125485,11.125485,TIMED-OUT,TIMED-OUT,0,0
sbp2port_removelockrelease2_0.bpl.bpl.txt,NOK,NOK,22,22,6.522711000000001,6.522711000000001,TIMED-OUT,TIMED-OUT,0,0
mouser_multremovelock_1.bpl.bpl.txt,NOK,NOK,36,36,9.491164,9.491164,TIMED-OUT,TIMED-OUT,0,0
mouser_lowerdriverreturn_1.bpl.bpl.txt,NOK,NOK,77,77,36.360993,36.360993,TIMED-OUT,TIMED-OUT,0,0
serial_irqlkesetevent_0.bpl.bpl.txt,OK,OK,62,62,62.046299000000005,62.046299000000005,TIMED-OUT,TIMED-OUT,0,0
61883_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,26,26,10.816497,10.816497,TIMED-OUT,TIMED-OUT,0,0
mouclass_multremovelock_0.bpl.bpl.txt,NOK,NOK,26,26,30.056100999999998,30.056100999999998,TIMED-OUT,TIMED-OUT,0,0
mouser_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,121,121,124.39597,124.39597,TIMED-OUT,TIMED-OUT,0,0
sbp2port_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,21,21,9.065481,9.065481,TIMED-OUT,TIMED-OUT,0,0
avc_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,146,146,119.712912,119.712912,TIMED-OUT,TIMED-OUT,0,0
sbp2port_signaleventincompletion_0.bpl.bpl.txt,NOK,NOK,52,52,40.970048999999996,40.970048999999996,TIMED-OUT,TIMED-OUT,0,0
sbp2port_ioallocateforward_0.bpl.bpl.txt,NOK,NOK,20,20,10.625662,10.625662,TIMED-OUT,TIMED-OUT,0,0
mouclass_multremovelock_1.bpl.bpl.txt,NOK,NOK,72,72,80.484681,80.484681,TIMED-OUT,TIMED-OUT,0,0
