Name,OR_Outcome,alpha50_Outcome,UW_Outcome,OR_InlinedProcedures,alpha50_InlinedProcedures,UW_InlinedProcedures,OR_Runtime,alpha50_Runtime,UW_Runtime,Who_Performed_Better,Run number
hw_pagedcode_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,0,125,471,898.504833,235.20509199999998,898.473012,alpha50,Run1
modem_markingqueuedirps_0.bpl.bpl.txt,OK,OK,OK,0,133,138,125.678609,190.76954999999998,285.86812399999997,OR,Run1
kbdclass_nsremovelockquerymnremove_1.bpl.bpl.txt,OK,OK,TIMEDOUT,0,201,178,745.845758,673.153357,899.22037,alpha50,Run1
daytona_completerequeststatuscheck_1.bpl.bpl.txt,OK,OK,TIMEDOUT,0,63,459,100.240351,70.340645,898.791466,alpha50,Run1
serial_zwregistryopen_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,112,458,898.601276,898.431825,898.4326,NONE,Run1
partmgr_completerequest_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,80,323,88.006473,144.34407399999998,899.060886,OR,Run1
driver_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,135,245,899.282351,899.247302,899.18756,NONE,Run1
mp_irqlkewaitformutexobject_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,44,459,59.44351399999999,115.136151,896.888684,OR,Run1
61883_irqlexallocatepool_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,116,511,101.283145,284.450263,898.615253,OR,Run1
mouclass_removelockmnsurpriseremove_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,154,412,49.55664,321.38572999999997,899.157528,OR,Run1
cyzport_irqlreturn_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,31,241,62.305641,81.482302,898.575376,OR,Run1
kbdclass_completerequest_1.bpl.bpl.txt,OK,OK,TIMEDOUT,0,50,333,215.971846,64.284572,899.042458,alpha50,Run1
cyyport_pagedcode_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,70,350,148.036458,345.807099,898.796273,OR,Run1
sbp2port_deletedevice_0.bpl.bpl.txt,OK,OK,OK,0,101,290,27.861586000000003,394.12215999999995,511.42917700000004,OR,Run1
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,201,431,79.509693,577.822543,894.805133,OR,Run1
kbdclass_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,82,413,248.832434,198.505047,899.079253,alpha50,Run1
serial_markingqueuedirps_2.bpl.bpl.txt,OK,TIMEDOUT,TIMEDOUT,0,223,448,134.90526799999998,898.554645,898.51424,OR,Run1
